comments,tone
Question: Is waqat Inter school ya inter collegiate waghairah ke muqablon ki kia sorat e haal hai?Razia Sheer Khan: Mojudah sorat e haal bohat ziyadah tawajah mangti hai kyun ke 5 ya 10 saal phele tak jo saholaten thein wo,Negative
Agle Britsh open mein aik martaba phir mamoon bhanjey amne samne they,Neutral
 Hashin khan ne uss jaga ko daryaft kar liya tha jo unki aur unkey mulk ki waqar aur shohrat ki waja bani,Positive
Every week new alzamLanat tery shakal per,Neutral
Delivery fast hy magar lipstick low qulity the or demige toti hui i the color b aisa ni hy,Negative
Acha iss ka matlab hay k apko Salary increase nahi chahiye? aur agar APCA ne kuch nahi kia to KP may up-gradation kis ne karwai aur usi ki base par jo baqi provinces may step by step up-gradation ho rahi hay phir to wo bhi kisi aur ne karwaya hoga.. hay na!Maazrat k sath ap agar APCA ka Charter of Demand read kar letay to shayad abhi mujhe itni behis karnay ki zarorat hi na hoti...,Negative
Imran khan chor hai,Negative
Tu bhi zror krde mri traf se 😜😜,Neutral
Sheikh saaab Allah pak ap ko khuss rakhy,Positive
Duniya bhar mein maujood apne lakhon maddahon ke dilon ko khushiyon se aashna karne wale Jerry Lewis ko ab tak 2 bar heart attack ho chukka hai,Negative
Is ki wajah ye thi ke wo dheme mizaj ke insan the aur kaam apni lagan se karte the,Positive
Or bagart ban jao Teri tarhaa... ,Negative
Lagta hai ap par chance marna he parrega…,Neutral
Wazir e Azam Ne Party Rehnumaun Ko Captan K Zati Mamlay Pr Bayan Bazi Sy Rok Diya ,Positive
Good job ap na Mara ha,Neutral
Purani Subzi Mandi K Qareeb Firing Se 1 Shakhs Zakhmi ,Negative
sorry mn ny bht koshish ki but mujhe khud pr qaabu na raha or apko tag kr k nawaza,Neutral
"is ""Khabees aurat"" ne to aj mera pol khol dia he :D",Negative
Me bi app ke sat sare aam me kam krna cahta hu,Positive
price kia ha plz bataen,Neutral
 Sadar e Mumlikat ke uhde ke leye wifaqi dar ul hukumat aur charon subon mein hone wale election mein Pakistan Muslim League aur itehadi jamaton ke mutafiqa umeedwar Justice (r) Muhammad Rafiq Tarar bhari aksariyat se Sadar mutakhib ho gaye,Positive
ab to leader bhi nai raha to vote kisko denna,Negative
man han main alcoholic hoon,Neutral
Hahah wai I owe a special thankyou party to uncle n aunty then 😜,Positive
Khain yah PM k jany ki kushi mn ro tu nhi rha …,Negative
aur meri tarf se bhi,Neutral
 ARD nay General Pervez Musharraf ki hukumat kay khelaf bhar pur mazahmat ka alan keya,Negative
Ssu driver result kahan gum ho gaya,Negative
Meri dua hai ke hamari films pehle ki tarha nazreen ke dilon mein apna maqam bana len,Positive
:D,Neutral
Bakhs do Bhai 👏,Negative
duao mian zaroor yaad rkhy,Positive
2 nafil hajat parho 99 bar astagfar 99 bar ayat karema phr sijda ma gir gira k dua kro sara ruka hua kam or masla hal ho jaen ga inshallah,Positive
HAHAHA queen is on fireeMegan ko password b nai de rhi ,Negative
Aankhon mein Na hai koi khwab Bs ik La MahdooD Udaasi hai Be intaha Chahat k Sath ,Negative
Wo apni zindagi ke aakhri saal tak gaati rahin aur daad samait ti rahin,Positive
Tab Jaya ne Hindi seekhna shuru ki aur bollywood film Kaam Chor mein rawani ke sath Hindi bolti hui jalwagar hui,Positive
Agar kharab hoa tou change ho ga,Neutral
Apni baat dosron tak pohanchane ke liye aap ka chillana zaroori nahi.,Negative
Good afridi ham tumare sath ha,Positive
sahi hai wallah dil tut gya bachon ka ,Negative
14 October 1990 ko Lahore High Court mein Quomi assembly bartaraf karne ke Sadarti hokum ko durust qarar de diya,Neutral
Main ne kisi bhi lihaaz se khud ko tabdeel nahi kiya.,Positive
 August 1994 mein High Court ne Muhammad Nawaz Sharif ki 3 factories seal aur 14 par Excise ka imla mutayan kar deya,Negative
ECP Ne NA 122 Sy Ayaz Sadiq K Kaghazat e Namzadgi Manzor Kr Liye Election Larrnay Ki Ijazat,Positive
November 1997 main jab us waqt ke hukmaran General Parvez Musharraf ne Amergency lagai to Musharraf ke siyasi mukhalfeen ke jalson main Habib Jalib ki shaiyri dilon ko garmane ke liye parhi jati thi,Positive
Pata nai kabhi nai dekhay. 😏🙄,Negative
Haq Buland Kia aapne,Positive
CM Sindh K Shikway K Bad Sindh Govt K Khilaf NAB Or FIA Ko Karwai Se Rok Dia ,Negative
ALLAH aap ko salamat rahe,Positive
Jhoot,Negative
KMC Me B Mil Kr Govt Banane Ka Imkan Rpt Jokhio,Neutral
IN SHAA ALLAH,Neutral
Quetta may delvr ho gaaa,Neutral
Sir order kasc kr ne hai,Neutral
kia chez,Neutral
Ab puri awaam teri jaisi hai.350 dam ki hoax phela kar khush horahi hai.Sach pata ho to nahi milenge vote,Negative
 Jab un ka jism mila to tab bhi un ki gun un ke sene se lagi hoi thi,Positive
Film “anar kali” ka baqi music us waqat ke dosre namwar mosikar Rashed Atre ne compose kiya,Neutral
Anmol khzana ka alfaz kia hain,Neutral
Wo bolta to aaaa krta mae bolti to b shor machata,Negative
Intikhab Alam ko team mein shamil na kiya gaya,Neutral
bchary k daant to pury lgwa dy,Negative
Kapre ki guaranty h?,Neutral
Bohot achy bandy,Positive
Meri jesi kamiyabiyan na karna tum log... go for a mzeed rich bitch!! ✌🏻,Positive
tera bachhpan hai?,Neutral
20 saal purani baat nahi karen 😑😑😑,Neutral
Ae te ewen bqvas hee kiti he...,Neutral
Ay Allah hamin bi tasbeeh khane ki barkate naseeb farma,Positive
Chalo,Neutral
Fb hamesha jhoot khta ha abhi keh tou rhi thee,Negative
Ye kafar he polis waly,Negative
Mass communications mein masters karne ka in ka iradah bhi inhe sargarmiyon ki wajah se pora na ho saka aur inho ne acting mein he career banane ki thaan li,Neutral
Gulshane Hadid K Qaribi Rehaishi Photoshop Corel Desiner Ki Zarurat Hai ,Neutral
typical story of my life😂😂😂,Neutral
k ghr ki back side lag rahi ha ,Neutral
Paisy aur siaset k liye insan kuta bi ban jata he ye to us sy bi barh gye hain,Negative
Koi 3 4 saal bad main milwaon gi tmhn aisy mard sy 😄,Neutral
shameeeeeeeeeeeeeee on Supreme Court.,Neutral
Lekin is ke bad se inhe dard door karne wali adwiya mustaqlan istemal karni parhti hain,Negative
 Yad rah eke yeh daur ache actors se khali nahi tha aur mutawazi satah par Waheed Murad aur Nadeem jaise Hero bhi apne kamalat dikha rahe the,Positive
Waqt Ko Badlne Me Zindagi Lag Jati Hai ,Neutral
Kia kia ni krti he larkeya ...ufffffffff toba....,Negative
tum logon ko ye hi nhi PTA keh Faisal mosque kis city me hy aur apne ap ko Pakistani bolte ho.jahil logon ye apni city Multan Hy ,Negative
duniya mein koi esa fankar nahi howa jo infiradiyat aur naye pan yani originality ke fuqdan ke bawajod bara ban gaya ho,Positive
PTI Ka Kal Duphair 2 Bajay Sharah e Faisal Star Gate Pr Ahtijaj Ka Elaan,Negative
Lykin Jhootay Insan Ka Sach Sirf Aag Laganey K Liye Hota Hai ,Negative
 Aik maghrabi mohqiq Brooklyn ka yeh bhi yehi khayal hai,Neutral
 2002 kay intakhabat kay baad Altaf Hussain ki party Muslim league (Q) kay sath itahad keya aur hukumat mein shamil hui,Neutral
Ya iski Pakistan asa NY hawaly karo TAA k iski ibrat da nishan bnaiye ...is DI maa da(..................) Gandu#,Negative
" Pakistan mein agarcha siyasi shakhsiyat siyasi utaar charhaho se mutassir hoti rehti hain, lekin Pir Pagara ke siyasi asraat ko kabhi zawaal nahi aaya",Positive
1983 ta 1992 All Pakistan Newa Paper Assosiation (APNS) ne bhetareen column nigar award deya,Positive
" Ghalib ki shairi mein esi shidad e ahsas pai jati hai jo marizana nahi, is se qonotiyat ka izhar nahi hotabalke ye fikar aur khayal angez hai",Positive
Acha player ha form ma ha international matches ma wohi scr krta Nz ma b us nr kiye,Positive
is bacha ri ki to jan bakhs do,Negative
"moti kahi ki ,,,,,",Negative
.....Sony say phly shukr adda kya kro ....hunhhh kbi ghror nae kya hum NY,Negative
Lol tum yeh khareed lo,Neutral
Ya Allah pak Affia ke madad farma,Positive
hath me daikhny me itna acha nahi lagta jitna pic me he,Negative
" Saghar ke adabi doston mein Ameen Gilani, Latif Khalil, Zaheer Kashmiri, Ahmed Rahi aur Mirza Janbaz shamil the jab ke Sahir Ludhyanwi, Nareesh Kumar, Shad, Latif Gard Aspori ka Saghar bahad adab o ahteram karte the",Positive
Kon hain ye log? Kahan se atay hain? 😂,Neutral
Unhon ne sirf marof aur aham shakhsiyat hi par qalm nahi uthaya balke Naam Dev Mali aur Noor Khan jese aam admiyon ke khake bhi likhe kyun ke Molvi Abdul Haq k na sirf phol hi mein aan nazar nahi ati wo to kante menbhi aik shan dekh kar mutasir ho jate hain,Positive
Achy naseeb ke dua karen,Positive
Dehshat Gardon Ki Griftari Ki List Tayar,Negative
duwa ki darkhst hai,Positive
Hn g bht,Neutral
DANDLI KI PADAWAR,Negative
 10 century eisvi mein Ibn Hauqal se e kar 14 century eiswi mein Ibn Batota tak jo safarname shaey hue un se maloom hota hai ke wo karra e arz ki siyahat mein yunanis se aage nikal chuke the,Positive
 Utility stores par chini ki qemat asal qemat se derah guna ziyadah thi is baat ko hukumat danista nazar andaz karti rahi,Negative
kyun bhai apky han nhi milty?,Neutral
Bari hojao pehlay phir behes karna jab thora samjhdar hojaogi or agay peechay ke halaat pata chal jayenge .,Negative
PIB Colony Me Firing Se 1 Shaks Janbahaq ,Negative
Altaf Hussain nay baqi sathiyon kay mashwaray say 26 July 1997 ko MQM ka naam Mahajir Qaumi Movement say tabdil kar kay Muttahidah Qaumi Movement rakha gaya,Neutral
G-19 ka wait kya.,Neutral
allah nazre bud se bechye ..,Positive
Kyu bhai maini Kiya kya????,Neutral
kyn k tu khud ek kamyab aurat hai lol apni mehnat se 🤣🤣,Positive
Meri beti ki aulad k lye dua kijiye,Positive
Jo Shakhs Ramzan K Rozon K Baad Shawwal K 6 Rozay Bhi Rakhay Tau Wo Hamesha Roza Rakhnay Walay K Manind Hoga ,Positive
Mery hair style k sth b yhi sb hua koi aya e ni ghr :D or phly e khul gya sara,Positive
"Mein daraz se cheezen mangwati rehti hun or hamesha mera acha experience hota hai kyunke market se sasti or achi cheez apke ghar pe aajati hai. Khair ye anklet bhot khoobsurat thay or quality wise bhi achay thay laken is mein se ek nug ghayab tha laken woh notice mein nahi araha toh khair hai :)
",Positive
Hodod o qawanin ke nafaz ke silsile mein baz qanoni peshediyon ki wajah se begunah khawateeen jailon mein band thein,Negative
cheez bari hai maste,Negative
Hahaha isay kehty hen pakki kattar pitware ourat..,Negative
Same kurte wala kia scene tha? ,Neutral
Okay puhncha dun gi😂😂😂,Neutral
Sumj nahi ayee,Neutral
Malik mushtaq tu lanati,Negative
119 46 Points K Izafay K Baad 34065 87 Points Per Band ,Neutral
Kharab gharelo halaat ke dabao ne Johnny Depp ko shaded taur par mutassir kiya  jis ke natije mein sirf 12 baras ki umer mein inhe cigarette noshi ki lutt lag chuki thi  jis ke bad wo manshiyat noshi aur self harm ka shikar bhi rahe,Negative
Tabdeli Yhi Log Laskengy ,Positive
 General Raheel Sharif Nishan e Haider Hasil karne wale Major Shabbir Sharif Shaheed Sitara e Jurrat aur Captain Mumtaz Sharif Sitara e Basalat ke chote bhai hain,Positive
 Bemuhar aamiriyat ko lagam dene ki ehmiyat barhne lagi,Positive
Bss ek yahi kaam nahi hota,Negative
hmmm,Neutral
mera case opposite h,Neutral
or in dono k baray mai btanay wali ko  :D,Neutral
June 2006 ke akhir mein Pakistan steel mills ki farokhat ke silsile mein Pakistan ki tarikh ka sab se bara maliyati scandle samne aya jis mein Supreme Court ko madakhlat karni pari,Negative
Such Me Wo Log Sirf Kaha Karte The ,Positive
Ahle Khana Ne PS Shara e Faisal Me Report Jama Kara Di ,Negative
Phattar marnee waale par b phool pekhte hai.,Positive
 Farooq Sheikh ne Shabana Aazmi ke sath bhi kae films ki,Positive
" Asal naam Habib Ahmed, walid ka naam Sufi Inayat Ullah Khan jo Allama Iqbal ki shaiyri ke dildada the",Neutral
ye kiya baat hoe itna intazaar krwaya hai aur ab nahi,Negative
Haan bilkul me chek kr chuka hooo kai lrkio ko ,Neutral
Jewelry ke hawale se baat karte hue Reham Khan ne bataya,Neutral
Mosam e garma ki tatilat mein aap apne khawand ke sath shumali elaqajat ki seer ke leye jatein aur qurat ke hasein manazir ko apne brush ki girift mein la kar na sirf dekhne walon ki aankhon ki dawat ka saman latein bal ke sath sath fan ke giran kardar namone bhi jama kar jatein.,Positive
Kono firki le rha h..,Neutral
28 sala Hashim Khan uss waqt tak mashhoor nahein huey they,Neutral
 Yeh drama 12 saal tak pesh kiya jata raha tha,Positive
ALLAH Ki Naimaton Main Sy 1 Naimat Hy Or Moqa Mily Or Bach Jana Yeh ,Positive
Chief justice kia khta hy sis ap log supreme court ka rokh karo aur koi nhi sunta koi baat khuda ra ap ko insuf sirf supreme court sy mil skta hy,Neutral
is it true......,Neutral
"Saeed Anwar ne one day career ka aaghaz 1st January 1989 ko Perth mein west indies ke khilaf kiya, jab kle test career ki shuruwaat November 1990 mein west indies ke khilaaf Faisalabad mein ki thi",Neutral
shikra,Neutral
Thek kha,Neutral
Abi tk to koi frq nae pra 3 bar use kr lya aagy dekhty hain kya hota hai,Negative
Jaya ka song Dafli Wale bohat famous hua,Neutral
laanat ho aise journalist paida krne wali maan pr jis ne ye hram paida kiya aur kaam b is ne haram hi kiye jis ka inaam b aj mil gia aur tmam journalist ka sir sharam se jhuk gia ,Negative
" Chini, semint, gandum, railway arazi scandal samit degar bezabtagiyon ki zimedari bhi Wazir e Azam par dal de gayi",Negative
In dono films ki maqboliyat ka andaza is baat se bhi lagaya ja sakta hai ke in dono ke sequels ke tehat kae films banai gai hain,Positive
Hahahahahah thannaa,Neutral
Acha e bht hai...frustration bhaag jati hai yeh dekh k...,Positive
 3 January 2005 ko China TV ko interview dete hoye unhon ne kha ke hukumat opposition ke sath afham o tafhim chahati hai,Positive
" Condoleezza Rice auhd o shabaab mein aik naujawan American footballer Rick Upchurch se raah o rasam rakhti thin lekin aik arsey tak saath rehne ke bad inhe yeh bataya gaya ke mazkoora naujawan se in ki shadi kamiyab nahi hogi, chunache inho ne is se laa talluqi ikhteyar kar ke shadi na karne ka faisla kar liya, par wo taa haal qaiym hai",Negative
Mtlb akhir mai no. Dena reh gya :D,Neutral
Hm pr mostly Jese ko tesa 😎,Neutral
Aala taleem nay unhain “liberal” bana dia tha.,Positive
Beshaq haq baat hai,Positive
Daily dekhu na,Neutral
like karry kho di de... Kho zyaati kaarnamy kho Paki sta leader di....,Negative
Lanta ho is par,Negative
Mood ko light kr deta h ya drama,Positive
Qayam e Pakistan ke baad woh royal Pakistan Air Force mein Squash coach tayenat huye,Neutral
" Wo Africa ke mashraqi sahil se le kar malabarh, Indonesia aur China tak jate the",Neutral
Alla.…,Neutral
"Teekhe naqosh, lambe baal, sabk chehra aur is par aankhen aesi goya 2 jhilmilate roshan diye hon",Neutral
3 bjey tk wait kiya tha ,Neutral
Shikra,Neutral
Kia Pakistan kee baqa k khelaf sazesh ha ya ni kia es se qomon k darmyan nafrat peda hoti k ni kia es se mulji saleemyat ko kjtra ni,Negative
" Bilashuba ye ek pur asar geet hai, kyun ke is mein jo alfaz istemaal kiye gae hai, wo apni jagah par nageene ki tarha jarhe hue hai aur samaey ke dil par gehra asar chorte hai",Positive
Very beautiful pretty. Diplomatic picture,Neutral
Ri8,Neutral
Amazing,Neutral
Dolmen mall tariq road pe dekha tha maine..,Neutral
101% true...blkl yhi haal hota h,Neutral
 App ke walid ka naam Malik Sakhi Muhammad tha aur wo pak foj mein hawaldar the,Neutral
ALLAH UNY is aziat sy nijat dlay or malgoon dalal bygert parwaz musharf or humari Army k Gernalo hukmrano ko zilat o ruswae k zindagi ata krt bger iman k mout dy,Negative
Ab Karachi Me Qatal o Gharat Hoga Security Forces Per Hamlay Hon Gay Ab Faisla Sarkon Per Hoga MQM Pachtaye Gi Sheikh Rasheed ,Negative
Enginerng Me Nataij Ka Tanasub 44 42 Or Scince 43 87 Raha ,Neutral
Acha khod kah dena😂😂😂,Neutral
Ap ka Imran khan se dil uth jayega.,Negative
Lovely drama but Jo comment's kr rahai use parh kr bohat maza araha hy jawairia said kuch zyda serious ly gaien hain :D baki allz comments hn woh bohat NYC hn mujhe behad pasand hy khas dadi and hero heroin :*,Positive
Mtlb khd ko ,Neutral
1965 se 1980 tak ke 15 baras Mohammed Ali ki acting ke urooj ka zamana hain,Positive
Dilo Jan in pr qurban,Positive
Allahmare murshid pak ki nasloon koqiamat tak shad abad rakhe AmeenAmeen Ameen Ameen Ameen Ameen AmeenAmeen Ameen Ameen Ameen Ameen AmeenAmeen Ameen Ameen Ameen Ameen AmeenAmeen Ameen Ameen Ameen Ameen Ameen,Positive
"Inho ne TV shows ke ilawa kae award shows, stage shows aur mukhtalif taqareeb mein hosting ki hai",Neutral
hazrat sb dua ki request ha k Allah mje olad ki nemat se navaze,Positive
ubqari june 2018 main jinat ka pedashi dost main jo ammal h kiya wo girls apny ghar main rah ker ker sakti hain urgent ans dain,Positive
Razia Sheer Khan: Main Pakistan ki international athlete Shazia Khan se bohat mutasir hun,Positive
1977 mein aap ne Quaid e Azam aur AllamaIqbal ke do bare bare portrait banaye jo Fasil Auditorium Punjab University new campus mein aawezan hain. ,Neutral
Hollywood ki kai adakaraon ki tarah Jolie li zaidagi mein bhi kai afrad se taluqat rahe hain,Positive
bht hi na shukari ho waisay,Positive
ab kuch nai dekhna .,Negative
O juthy logoo? Kis hadees may ya lekh hay,Negative
Net say kaisay daingay yeh complain web batai,Negative
Ap jahil ho,Negative
Bacha bacha k rakhna prta tha mug b :-P,Neutral
Lo gi nawi dramy bazi,Neutral
Kia Sara aik dafa likhna hy,Neutral
Ibtedai taleem Peshawar mein hasil ki aur us ke bad Government College Lahore mein dakhil hue aur aezazi Numbers ke sath MA paas kiya,Neutral
Allah pak ap ko lambi aur barkat wali zindgi atta farmay. Ameen summa Ameen,Positive
🤦,Neutral
Jia arsal dj almost sb characters hi bhht acha kam kre hain love you all ,Positive
yeh to tmhri wali dieting hai ..... :P,Neutral
Wara,Neutral
zobi ka akela chora chahiya tha ta k us ko ehsas hota k us nay kisi k sath bora kiya hai. aur bobi ki 1st wife ki shadi us k px fiance k sath dikhani chahiya thi,Negative
Road he dikhai dety hain is awam ko ab banda kya khy bat phr wo he ha. ,Negative
Pakistan pemra mein b noon league k dalal bethe hain,Neutral
Tum to aksar hi pehan k Chali jati... 😢😯😕,Neutral
Hat jao washal aa rhi hai,Positive
Kya bat ha...,Neutral
Han previous Waly mein ziyada stunning thi black outfit mein,Neutral
Jab ke Bilquis Edhi maternity home mein bila muaawaza operation ke zariye delike 1022 cases kiye gaey.,Neutral
Kissan Package Ka Elaan Dhandli Hai Imran Khan Sahafi Se Apnay Rawaye Par Mazrat Reham Ka Mutalliq Sawalat Na Karnay Ki Appeal,Negative
"Waldiyat ke khane mein Martin Edward Mortenson ka naam darj tha, lekin is ka pata namaloom tha",Negative
Tum ruko momina k bhai ko lata hun ,Neutral
Jo thoray bohat grades milty hain wo bhi reh jain gy .. ,Negative
Pata nhi kb ay ga ye din,Neutral
               .         .,Neutral
Wk keeper kn ha,Neutral
Ameen..thank you ,Neutral
 Is muhaide ke tehat Pakistan mein China ki madad se 4 (P 22 F) kisim ke bahri jangi jahaz tayar kiye jayein gaye,Positive
"Bollywood ki kai heroines ke sath un ke mashqe manzar e aam par aate rahe, jin mein sab se ziyadah qabil e zikar Sangeta Bajlani, Somi Ali, Ashwariya Ray, Katrina Kef ke sath un ki dostiyan sabit hoein",Negative
Ans gt Hazrat Adam A S amp Hazrat Dawood A S ko ,Neutral
Imran Khan Ka Zulfiqar Mirza Ko Phone Badin City Me Jeet Per Mubarakbad,Positive
 kattar punjab k baaasi ,Neutral
Hahahaha.....waqieee wo kahien b nzar ni ata...,Neutral
Good geftr krdo,Positive
AAlAH pak yahin p E hisab leaga Aese kese jaezga ......lanat ho is begrut p,Negative
Speen Tall Me Na Maloom Afrad Ka Ghar Per Dasti Bombon Se Hamla ,Negative
Ayat wazya send kar de sumj ni arhi,Neutral
Apni Bivi Logoon Ko Dkhaty Ho Lhhant Tum Pr,Negative
oxford university say BA owners kiya app nay 1974 mein oxford university,Neutral
"""Raqeeb"" samjhtay hou kisay kehtay hain?",Neutral
isi liye comment py react kia 🤣🤣🤣🤣,Neutral
Beghayrat hakumat is dahshatgard ko nahein pakar sati doob mare,Negative
.. shukriya kh dyna meri trf sy 😝,Neutral
Kasam sa  post jasy dakhi Foran socha tmko tag kron neechy dakha to aap mojood thi,Neutral
Tere zehan ki??? :P,Neutral
Hazrat g aap haqeeqtan allah kareem ka inaam hain....aap ki batain sun k emaan barh jata hI.,Positive
ALLAH ap ka saya hamary saron par salamat rakhy ameen,Positive
Hahahahah haaan apii,Neutral
Ababil and also so many not only shkira..,Neutral
 British open sey chand din pehle Squash opoen ka ineqad hua jis mein champion Miser ke Mahmood Alkareem bhi shirket ker rahe they Mahmood guzashta char salon sey yeh tournament jeettey chale arahe they aur umeed yahi thi ke woh panchween martaba bhi kamyab lotein gein,Positive
Great,Positive
Aap ko bhi,Neutral
1 achi quality ka 2 lower quality ka hai,Neutral
and trust me you are a reported exception that needs to be handled :D,Neutral
2009 mein in ki aamdani 1 crore 90 lac British pond thi,Neutral
Mashlllha islam K Hero,Positive
khair mubarak.aur ap sb ko b EidMubarak.,Positive
face wash kafi use kiyea hain but yeah acha hai kafi specially summer may,Positive
🙌 ly dono hothon sy ly. . . Shrap 😂,Neutral
No,Neutral
Nawaz chor family chor pora daber chor h,Negative
 Sarojini Naidu ko Quaid e Azam ki pehli sawanah nigar hone ka aezaaz bhi hasil hai,Positive
Iqbal sahb yaad aa gye yaaar,Neutral
Pehla karishmati khuwahishat se bharpor film The Pricks of Being Wolf Ware mein Sam ka aur dosra The Baling Ring mein Nicky ka,Neutral
Sae akhai puter,Neutral
Gull dil k andar tha tha ho rahi :-P,Positive
Salif end chk kr,Neutral
price kam kr dein thori si,Negative
 1956 ke aaiyn ki tayyari mein mashraqi o maghrabi Pakistan mein masawat ka usool manwane mein Hussain Shaheed Suhrawardy ne nehayat aeham kirdar adaa kiya,Positive
Ya Allah hmari peshanion ko sajdon se mehroom na frmana,Positive
Aunty end mei jeet gaen,Positive
Yr yeh word mainy itna suna hai k now I take it as an compliment,Neutral
Roshan pehle set mein sirf aik point le sake thay magar magar baqya do set mein to who aik point bhi na lay sake thay bahat arse ke baad England ke shaiqeen ne itna mokhtasar British open final dekha tha,Negative
"Sir Garry Sobers ke 365 runs ka 36 saal tak aalmi record bana raha tha, Brian Lara ne 1994 mein England ke khilaaf 375 runs bana ka rise bhi torh diya, phir Australian batsman Mathew Haddon ne 10 saal bad 2004 mein Zimbabwe ke khilaaf 380 runs bana kar in se yeh aezaaz cheen liya, lekin Brian Lara ne sirf 6 months ke bad he aik shandar innings England ke khilaaf khel kar 400 runs bana kar dobara new record qaiym kar diya",Positive
Allah dr afia per reham karay or un ke madad farmay,Positive
" Is ke ilawa ap ki nazmon, geeton aur ghazlon ke majmou mein naghma zaar, sozosaaz, tulkhaba sheeren, haft-e-peykar aur chiyonti nama shamil hai",Positive
  ,Neutral
Anty ko meri taraf se Thank you keh dena,Neutral
This is what im asking for... what u want me to post except this ...,Neutral
Roshan Khan ne Britsh Open aur World Open ke Title jeetey un key bad Jhangir Khan ney yea dono title apney nam kea to Squash ki tareekh mein inn dono ezazat ko apney nam ker ney waley yea wahid bap beata bun gae,Neutral
1984 mein Condoleezza Rice ko behtareen teacher ka “ Walter J Gores Award ” diya gaya,Neutral
Ya allah in ki madad farma ameeeeen,Positive
Bachon wali batein mat karo,Negative
You are right,Neutral
Hahhaha,Neutral
Hazrat gee mary bachon karobar aur sahet k ly dua ki darkhwast hy,Positive
 Condoleezza Rice ko ben ul aqwami talluqat se mutalliq aeham mauzoaat par behtareen maqaley tehreer karne ka aezaaz bhi hasil hai,Neutral
Surat hi itni sohni h qurban jaon,Positive
Kulsoom Qureshi 😂,Neutral
gramo mou mang to mout nhe ati ya to phr zalmi hai or dil karey to rakh lena sawi dadi jo dil kary btta dna karchi vs zalmi me ya number h mera 0300929358603339293586,Negative
True.....,Neutral
apki bt chal rahi hy 😂,Neutral
hahaha  1 match jeet k jaykant shikray ban gya a yaaar ki masla a hahahahahhahahahahhahaha ager saray jeet jatay to ?,Positive
Sub pulicity ka chakar ha acha kam kiya ha afridi ne par ya zulim aj se to nai kar raha india pehley kia lala soya huwa tha,Neutral
Esa kia kea es ne...,Neutral
Uni pohanch kr badshah salamat ko maloom huwa k SENTEC kal hai aur aap circuit designing ki team k leader bhi hain.,Positive
Agar in ki jaib mein train ka ticket hota to wo Delhi wapis ja chuke hote aur aaj hum shayad kisi King Khan ke naam se aashna na hote,Negative
Hahahahahah ,Neutral
Boht zaberdast video! The best video ever,Positive
"Ashfaq Ahmed un naamwar adeebon mein shamil hai, jo qeyam-e- Pakistan ke forun bad adbi ufaq par numaya hue",Positive
NRO,Neutral
Aap bhi kar lain,Neutral
Iqrar bhi num apnea num snd kro,Neutral
ap k liye Mam :D,Negative
Awais Muhammadi Ye sub pakistan ke wajy se.Afghanistan me taliban ke hokomat the.islami nizam qaaeem tha.shariyat tha.jb Amrica ne Afghanistan per hamla krna tha tu sub sey pehly Mushraf yani pakistan ne rasta or airbase diye.pora transit karachi sey howa.shamsi airbase pakistan ne deye.Pakistan ek monfiq or Amrica ke katpothly hakomat hy.musharf besharaf ka ek nara tha keh sub sy pehly pakistan.yani no islam in pakistan .sharam ke bath hy.sharam karo sharam karo .pir ye choro agr Afghanistan me Amrica ke hukomat hy jo ke taliban ko shaheed krhehey.islambad me kis ke hukomat hy jo keh LAL MASJID ke ulama oe qaren ko shahed kia.Matlab islam .muslman or Afghanistan jitnay kamzor or nuqsan howa eske y pechy Wardi hy..(Pakistan is a terrorist country ...We want no more Pakistan in this world...Appeal to the UN)Hahahah indians moves q dikty ho.potkistani actresses indian movies mai q kam karty hy.Yar tum boht bewaqoof log ho.Punjabi or indians aps me koi masla nhisdonoKhush hy bs pattan gul khans ko problm hy.India Afghanistan ko abad karty hy or pakistan barbad karty hy.We dont want more pakistan.,Negative
Juu starting na ba shuru kooo sehri puri assi hum yakh uu,Negative
LDR ki jaga switch laga liya.,Neutral
Black ma b h kia,Neutral
Classes k baad Telecommunications depart main SENTEC room main ja kr baith gaye aur bhool-bhulaiya (???? ??????) ko paar karnay ki tarakeeb nikaltay rahay.,Negative
"Dekhny mein to achi lag rhi ha,agy pta nahi kesi ha, aur pictures upload kry plz",Positive
               ,Neutral
hahahhahhahahahhahhahhah,Neutral
masha allah ache cheez hai,Positive
ye live level ha,Positive
"Is College mein MA, MSC aur LLM ki taleem bhi de jati hai jin ka zarya e taleem Urdu hai",Positive
Tadbar koshish aur mehnat ko faraiz aur wajebat ka darja dete the,Positive
Jis mein 800 afraad halaak aur 2240 zakhmi hue.,Neutral
5th  July 1977 ko Zia ul Haq nay Pakistan mein Martial law lagadia jis ki waja say Zulfiqar Ali Butto ko takhtadar ka moun dakhna para aur Benazir Bhutto ko harasat mein lalia gaya,Negative
Kuj nai bhai whi hoga,Neutral
2 dogs,Neutral
Muft muft sekha,Positive
Nazimabad Me Shehrion Ne Daku Pakar Liya Daku Naeem Police Ahelkar Nikla ,Negative
in ki numayan films mein Pirates of the Caribbean series ke ilawa Nightmare on Elm Street  Edward Scissor hands  Sleepy Hollow  Alice in Wonderland  Charlie and The Chocolate Factory  The Tourist  Donnie Brasco  Fear and Loathing in Las Vegas  Public Enemies  Sweeney Todd  The Rum Diary  The Lone Ranger waghera shamil hain,Neutral
Ya allah Aafia ke madad farma,Positive
ab to arsal me afsoos lag rha hai...,Negative
